epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,35.0444,0.99922,1.12581,0.89935,0.90438,0.98669,0.99165,0.75196,0.92946,0.87568,0.92043,0.0004654,0.0004654,0.0004654
56,35.69,0.9817,1.14129,0.90923,0.94896,0.9732,0.99326,0.75618,0.89703,0.84517,0.90926,0.0004555,0.0004555,0.0004555
57,36.3419,0.95027,1.11648,0.91085,0.94896,0.9732,0.99326,0.75618,0.89703,0.84517,0.90926,0.0004456,0.0004456,0.0004456
58,36.9371,0.88027,1.06661,0.90696,0.94896,0.9732,0.99326,0.75618,0.89703,0.84517,0.90926,0.0004357,0.0004357,0.0004357
59,37.5888,0.95548,1.09233,0.9087,0.96247,0.97077,0.993,0.78557,0.85945,0.823,0.90357,0.0004258,0.0004258,0.0004258
60,38.212,0.89664,1.07653,0.90839,0.96247,0.97077,0.993,0.78557,0.85945,0.823,0.90357,0.0004159,0.0004159,0.0004159
61,38.8415,0.86597,1.01071,0.87489,0.96247,0.97077,0.993,0.78557,0.85945,0.823,0.90357,0.000406,0.000406,0.000406
62,39.5219,0.86758,1.05473,0.86644,0.95834,0.97648,0.99238,0.785,0.8482,0.84722,0.90112,0.0003961,0.0003961,0.0003961
63,40.1551,0.88401,1.0116,0.90165,0.95834,0.97648,0.99238,0.785,0.8482,0.84722,0.90112,0.0003862,0.0003862,0.0003862
64,40.7909,0.87109,1.05194,0.88302,0.95834,0.97648,0.99238,0.785,0.8482,0.84722,0.90112,0.0003763,0.0003763,0.0003763
65,41.4103,0.87612,1.12516,0.88568,0.95834,0.97648,0.99238,0.785,0.8482,0.84722,0.90112,0.0003664,0.0003664,0.0003664
66,42.0756,0.92636,1.01992,0.9022,0.96075,0.97238,0.99326,0.78486,0.81829,0.82334,0.89208,0.0003565,0.0003565,0.0003565
67,42.6738,0.90293,1.02756,0.89435,0.96075,0.97238,0.99326,0.78486,0.81829,0.82334,0.89208,0.0003466,0.0003466,0.0003466
68,43.3078,0.92185,1.01342,0.90654,0.96075,0.97238,0.99326,0.78486,0.81829,0.82334,0.89208,0.0003367,0.0003367,0.0003367
69,43.9082,0.82753,0.94731,0.85143,0.96781,0.97686,0.99326,0.81511,0.76207,0.77377,0.8791,0.0003268,0.0003268,0.0003268
70,44.5959,0.84553,1.05302,0.87932,0.96781,0.97686,0.99326,0.81511,0.76207,0.77377,0.8791,0.0003169,0.0003169,0.0003169
71,45.1973,0.85275,1.00781,0.87513,0.96781,0.97686,0.99326,0.81511,0.76207,0.77377,0.8791,0.000307,0.000307,0.000307
72,45.835,0.83806,0.98863,0.88305,0.9791,0.98313,0.99326,0.82886,0.73574,0.7513,0.87198,0.0002971,0.0002971,0.0002971
73,46.4446,0.85395,1.0297,0.90015,0.9791,0.98313,0.99326,0.82886,0.73574,0.7513,0.87198,0.0002872,0.0002872,0.0002872
74,47.0795,0.84736,0.99859,0.87486,0.9791,0.98313,0.99326,0.82886,0.73574,0.7513,0.87198,0.0002773,0.0002773,0.0002773
75,47.6958,0.89724,1.25121,0.9017,0.98219,0.98038,0.99326,0.83049,0.71243,0.72467,0.86866,0.0002674,0.0002674,0.0002674
76,48.4233,0.80119,1.01907,0.83177,0.98219,0.98038,0.99326,0.83049,0.71243,0.72467,0.86866,0.0002575,0.0002575,0.0002575
77,49.0957,0.83764,0.94558,0.88652,0.98219,0.98038,0.99326,0.83049,0.71243,0.72467,0.86866,0.0002476,0.0002476,0.0002476
78,49.758,0.7767,0.93534,0.88101,0.9813,0.98046,0.99326,0.8301,0.73141,0.70962,0.87016,0.0002377,0.0002377,0.0002377
79,50.3798,0.76665,0.90174,0.86343,0.9813,0.98046,0.99326,0.8301,0.73141,0.70962,0.87016,0.0002278,0.0002278,0.0002278
80,51.0021,0.72488,0.98572,0.86051,0.9813,0.98046,0.99326,0.8301,0.73141,0.70962,0.87016,0.0002179,0.0002179,0.0002179
81,51.6849,0.78403,0.99195,0.88093,0.9813,0.98046,0.99326,0.8301,0.73141,0.70962,0.87016,0.000208,0.000208,0.000208
82,52.3913,0.7969,0.95753,0.86852,0.97858,0.98103,0.99355,0.8523,0.69411,0.69191,0.86189,0.0001981,0.0001981,0.0001981
83,53.0724,0.73613,0.90718,0.85117,0.97858,0.98103,0.99355,0.8523,0.69411,0.69191,0.86189,0.0001882,0.0001882,0.0001882
84,53.7934,0.78927,0.98727,0.83167,0.97858,0.98103,0.99355,0.8523,0.69411,0.69191,0.86189,0.0001783,0.0001783,0.0001783
85,54.5303,0.75477,0.90216,0.84916,0.97643,0.99123,0.99355,0.86164,0.66003,0.67992,0.85721,0.0001684,0.0001684,0.0001684
86,55.1485,0.72207,0.89783,0.87216,0.97643,0.99123,0.99355,0.86164,0.66003,0.67992,0.85721,0.0001585,0.0001585,0.0001585
87,55.79,0.7886,0.96879,0.89149,0.97643,0.99123,0.99355,0.86164,0.66003,0.67992,0.85721,0.0001486,0.0001486,0.0001486
88,56.5104,0.74983,0.89957,0.84907,0.98186,0.98867,0.99421,0.85103,0.66289,0.67344,0.85614,0.0001387,0.0001387,0.0001387
89,57.2545,0.75954,0.89057,0.88027,0.98186,0.98867,0.99421,0.85103,0.66289,0.67344,0.85614,0.0001288,0.0001288,0.0001288
90,57.9972,0.82005,0.96639,0.85922,0.98186,0.98867,0.99421,0.85103,0.66289,0.67344,0.85614,0.0001189,0.0001189,0.0001189
91,59.3681,0.73871,0.8883,0.86926,0.98275,0.99123,0.99386,0.84695,0.6648,0.66339,0.85691,0.000109,0.000109,0.000109
92,60.1567,0.72566,0.89496,0.87595,0.98275,0.99123,0.99386,0.84695,0.6648,0.66339,0.85691,9.91e-05,9.91e-05,9.91e-05
93,60.925,0.69866,0.91347,0.88105,0.98275,0.99123,0.99386,0.84695,0.6648,0.66339,0.85691,8.92e-05,8.92e-05,8.92e-05
94,61.6952,0.7498,0.88457,0.85073,0.9857,0.99123,0.99326,0.84845,0.6761,0.66382,0.85974,7.93e-05,7.93e-05,7.93e-05
95,62.4343,0.73719,0.9248,0.86981,0.9857,0.99123,0.99326,0.84845,0.6761,0.66382,0.85974,6.94e-05,6.94e-05,6.94e-05
96,63.1898,0.77455,0.92362,0.86833,0.9857,0.99123,0.99326,0.84845,0.6761,0.66382,0.85974,5.95e-05,5.95e-05,5.95e-05
97,63.9583,0.74807,0.93493,0.83958,0.9857,0.99123,0.99326,0.84845,0.6761,0.66382,0.85974,4.96e-05,4.96e-05,4.96e-05
98,64.7867,0.75785,0.95549,0.89386,0.98708,0.99123,0.99326,0.84503,0.68621,0.6684,0.8614,3.97e-05,3.97e-05,3.97e-05
99,65.4995,0.7445,0.93522,0.88674,0.98708,0.99123,0.99326,0.84503,0.68621,0.6684,0.8614,2.98e-05,2.98e-05,2.98e-05
100,66.1827,0.72016,0.83262,0.8453,0.98708,0.99123,0.99326,0.84503,0.68621,0.6684,0.8614,1.99e-05,1.99e-05,1.99e-05
