epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1927.77,0.13722,0.11075,0.76388,0.99991,1,0.995,0.995,0.07581,0.06593,0.75177,0.0002179,0.0002179,0.0002179
81,1950.46,0.13521,0.1106,0.76603,0.99996,1,0.995,0.995,0.07581,0.06603,0.75209,0.000208,0.000208,0.000208
82,1972.75,0.1349,0.10852,0.76247,0.99991,1,0.995,0.995,0.07696,0.06672,0.75239,0.0001981,0.0001981,0.0001981
83,1995.27,0.13423,0.10987,0.76326,0.99991,1,0.995,0.995,0.07546,0.06496,0.75245,0.0001882,0.0001882,0.0001882
84,2020.22,0.13065,0.10772,0.76421,0.99993,1,0.995,0.995,0.07491,0.06421,0.75277,0.0001783,0.0001783,0.0001783
85,2042.24,0.1297,0.10623,0.76495,0.99998,1,0.995,0.995,0.0762,0.06539,0.75192,0.0001684,0.0001684,0.0001684
86,2064.28,0.13114,0.10777,0.76487,0.99993,1,0.995,0.995,0.07406,0.06396,0.75168,0.0001585,0.0001585,0.0001585
87,2088.11,0.12925,0.10599,0.76367,0.99996,1,0.995,0.995,0.0739,0.06335,0.7522,0.0001486,0.0001486,0.0001486
88,2110.52,0.12814,0.10639,0.76405,0.99993,1,0.995,0.995,0.07376,0.06324,0.75201,0.0001387,0.0001387,0.0001387
89,2134.87,0.12712,0.10338,0.76412,0.99996,1,0.995,0.995,0.0728,0.06248,0.75211,0.0001288,0.0001288,0.0001288
90,2157.2,0.12608,0.10317,0.76461,0.99991,1,0.995,0.995,0.07327,0.06299,0.75188,0.0001189,0.0001189,0.0001189
91,2180.9,0.12546,0.10247,0.76217,0.99993,1,0.995,0.995,0.07469,0.06374,0.75177,0.000109,0.000109,0.000109
92,2203.22,0.11931,0.09882,0.76391,0.99994,1,0.995,0.995,0.07387,0.06296,0.75229,9.91e-05,9.91e-05,9.91e-05
93,2227.15,0.11638,0.09544,0.76318,0.99991,1,0.995,0.995,0.07354,0.06254,0.75207,8.92e-05,8.92e-05,8.92e-05
94,2248.68,0.11307,0.09421,0.7619,0.99994,1,0.995,0.995,0.07249,0.0622,0.75187,7.93e-05,7.93e-05,7.93e-05
95,2270.63,0.11256,0.09385,0.76224,0.99994,1,0.995,0.995,0.07313,0.06221,0.75236,6.94e-05,6.94e-05,6.94e-05
96,2291.42,0.11083,0.09204,0.76091,0.99994,1,0.995,0.995,0.0721,0.06153,0.75216,5.95e-05,5.95e-05,5.95e-05
97,2314.94,0.108,0.08874,0.7622,0.99994,1,0.995,0.995,0.0718,0.0608,0.75201,4.96e-05,4.96e-05,4.96e-05
98,2336.53,0.10647,0.08812,0.76118,0.99996,1,0.995,0.995,0.07142,0.06038,0.75208,3.97e-05,3.97e-05,3.97e-05
99,2357.61,0.10338,0.08576,0.76055,0.99994,1,0.995,0.995,0.07137,0.06036,0.75184,2.98e-05,2.98e-05,2.98e-05
100,2379.4,0.10375,0.08668,0.76041,0.99994,1,0.995,0.995,0.07121,0.05951,0.75195,1.99e-05,1.99e-05,1.99e-05
