epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18262.8,2.78479,2.62819,0.97374,0.01621,0.94723,0.08113,0.02975,2.50473,2.31764,0.97199,0.006436,0.006436,0.006436
74,18511.8,2.7929,2.64437,0.97563,0.0163,0.9482,0.08188,0.03033,2.49303,2.31088,0.97069,0.0063865,0.0063865,0.0063865
75,18761.8,2.77878,2.62698,0.97264,0.01636,0.95064,0.08308,0.03109,2.47949,2.30401,0.96911,0.006337,0.006337,0.006337
76,19010.5,2.78484,2.63162,0.97251,0.01797,0.95132,0.08396,0.03177,2.46528,2.29766,0.9675,0.0062875,0.0062875,0.0062875
77,19260.6,2.77717,2.63235,0.97304,0.01806,0.95265,0.08494,0.03236,2.45474,2.29153,0.96627,0.006238,0.006238,0.006238
78,19509.5,2.78403,2.64001,0.97341,0.02008,0.95265,0.08597,0.03296,2.44141,2.28414,0.96466,0.0061885,0.0061885,0.0061885
79,19760,2.7706,2.63412,0.97305,0.02022,0.95501,0.08702,0.0338,2.42325,2.27757,0.9625,0.006139,0.006139,0.006139
80,20008.2,2.76188,2.6209,0.97141,0.02028,0.95715,0.08812,0.03461,2.40909,2.27173,0.96084,0.0060895,0.0060895,0.0060895
81,20256.9,2.74929,2.61167,0.96885,0.02232,0.95569,0.08895,0.03518,2.39449,2.26632,0.95912,0.00604,0.00604,0.00604
82,20507,2.75845,2.62462,0.97115,0.02241,0.95823,0.09039,0.03614,2.37435,2.25872,0.95669,0.0059905,0.0059905,0.0059905
83,20758.5,2.75294,2.61637,0.96939,0.02251,0.96077,0.09163,0.037,2.35572,2.25241,0.95454,0.005941,0.005941,0.005941
84,21010,2.74884,2.60876,0.96902,0.02446,0.95883,0.09243,0.03784,2.33868,2.24673,0.95267,0.0058915,0.0058915,0.0058915
85,21260.7,2.74592,2.61225,0.96894,0.0245,0.96061,0.09347,0.03873,2.32064,2.24022,0.95076,0.005842,0.005842,0.005842
